5

150 1000

45

 1 30 40
 2 37 52
 3 49 49
 4 52 64
 5 20 26
 6 40 30
 7 21 47
 8 17 63
 9 31 62
 10 52 33
 11 51 21
 12 42 41
 13 31 32
 14 5 25
 15 12 42
 16 36 16
 17 52 41
 18 27 23
 19 17 33
 20 13 13
 21 57 58
 22 62 42
 23 42 57
 24 16 57
 25 8 52
 26 7 38
 27 27 68
 28 30 48
 29 43 67
 30 58 48
 31 58 27
 32 37 69
 33 38 46
 34 46 10
 35 61 33
 36 62 63
 37 63 69
 38 32 22
 39 45 35
 40 59 15
 41 5 6
 42 10 17
 43 21 10
 44 5 64
 45 30 15

1 0 0
2 7 38
3 30 187
4 16 98
5 9 55
6 21 119
7 15 81
8 19 116
9 23 156
10 11 59
11 5 35
12 19 141
13 29 187
14 23 166
15 21 136
16 10 69
17 15 116
18 3 16
19 41 301
20 9 60
21 28 157
22 8 48
23 8 45
24 16 93
25 10 59
26 28 179
27 7 37
28 15 96
29 14 93
30 6 41
31 19 142
32 11 84
33 12 87
34 23 155
35 26 139
36 17 105
37 6 40
38 9 66
39 15 106
40 14 95
41 7 44
42 27 187
43 13 94
44 11 67
45 16 105

#PARAMS: VOLUMECAP=1000 VOLUMEDEMANDRATIO=0.9 RANGECAP=0.2 RANDOM=0 SEED=12345
