5

100 1000

35

 1 78 95
 2 93 43
 3 57 4
 4 2 80
 5 10 17
 6 31 8
 7 10 87
 8 97 50
 9 16 93
 10 98 48
 11 103 47
 12 38 9
 13 100 51
 14 60 11
 15 15 19
 16 39 15
 17 102 47
 18 103 59
 19 10 82
 20 39 9
 21 97 52
 22 18 97
 23 32 13
 24 96 45
 25 11 21
 26 15 96
 27 10 81
 28 13 24
 29 0 8
 30 103 59
 31 33 11
 32 13 94
 33 63 5
 34 3 87
 35 14 25

1 0 0
2 12 79
3 3 36
4 2 21
5 13 128
6 17 127
7 12 98
8 1 13
9 26 178
10 13 154
11 15 128
12 20 198
13 20 290
14 3 45
15 3 33
16 12 88
17 25 210
18 2 30
19 15 100
20 24 132
21 2 28
22 7 79
23 15 181
24 2 29
25 13 160
26 9 64
27 12 81
28 26 194
29 17 203
30 26 293
31 9 128
32 14 208
33 9 127
34 25 273
35 13 114

#PARAMS: VOLUMECAP=1000 VOLUMEDEMANDRATIO=0.85 RANGECAP=0.5 RANDOM=0 SEED=12345
