6

100 200

38

 1 64 75
 2 16 97
 3 2 79
 4 28 79
 5 16 3
 6 39 20
 7 35 65
 8 43 21
 9 44 0
 10 37 67
 11 17 100
 12 34 80
 13 45 7
 14 11 83
 15 35 88
 16 21 98
 17 41 72
 18 51 0
 19 17 9
 20 36 66
 21 20 105
 22 35 85
 23 37 75
 24 17 11
 25 46 6
 26 40 23
 27 43 73
 28 40 21
 29 29 85
 30 45 6
 31 0 24
 32 42 66
 33 30 81
 34 17 9
 35 46 4
 36 0 85
 37 51 2
 38 5 80

1 0 0
2 18 18
3 10 23
4 16 28
5 12 28
6 21 23
7 23 24
8 15 24
9 25 20
10 3 34
11 6 5
12 7 45
13 4 55
14 20 26
15 25 9
16 20 54
17 12 7
18 3 13
19 12 20
20 14 37
21 26 2
22 9 51
23 22 8
24 20 36
25 9 12
26 13 25
27 21 30
28 10 58
29 8 54
30 5 2
31 14 53
32 7 29
33 21 33
34 20 46
35 1 37
36 21 54
37 17 17
38 2 40

#PARAMS: VOLUMECAP=200 VOLUMEDEMANDRATIO=0.9 RANGECAP=0 RANDOM=1 SEED=12345
