3

4500 1000

30

 1 162 354
 2 218 382
 3 218 358
 4 201 370
 5 214 371
 6 224 370
 7 210 382
 8 104 354
 9 126 338
 10 119 340
 11 129 349
 12 126 347
 13 125 346
 14 116 355
 15 126 335
 16 125 355
 17 119 357
 18 115 341
 19 153 351
 20 175 363
 21 180 360
 22 159 331
 23 188 357
 24 152 349
 25 215 389
 26 212 394
 27 188 393
 28 207 406
 29 184 410
 30 207 392

1 0 0
2 300 33
3 3100 532
4 125 19
5 100 17
6 200 24
7 150 21
8 150 17
9 450 59
10 300 64
11 100 11
12 950 186
13 125 31
14 150 35
15 150 17
16 550 80
17 150 17
18 100 13
19 150 17
20 400 44
21 300 50
22 1500 330
23 100 14
24 300 71
25 500 123
26 800 110
27 300 33
28 100 11
29 150 29
30 1000 242

#PARAMS: VOLUMECAP=1000 VOLUMEDEMANDRATIO=0.75 RANGECAP=0.5 RANDOM=0 SEED=12345
