5

100 1000

35

 1 78 95
 2 93 43
 3 57 4
 4 2 80
 5 10 17
 6 31 8
 7 10 87
 8 97 50
 9 16 93
 10 98 48
 11 103 47
 12 38 9
 13 100 51
 14 60 11
 15 15 19
 16 39 15
 17 102 47
 18 103 59
 19 10 82
 20 39 9
 21 97 52
 22 18 97
 23 32 13
 24 96 45
 25 11 21
 26 15 96
 27 10 81
 28 13 24
 29 0 8
 30 103 59
 31 33 11
 32 13 94
 33 63 5
 34 3 87
 35 14 25

1 0 0
2 12 107
3 3 40
4 2 17
5 13 93
6 17 136
7 12 100
8 1 12
9 26 303
10 13 111
11 15 148
12 20 264
13 20 212
14 3 31
15 3 29
16 12 150
17 25 212
18 2 27
19 15 171
20 24 250
21 2 27
22 7 91
23 15 184
24 2 19
25 13 164
26 9 118
27 12 148
28 26 294
29 17 189
30 26 223
31 9 66
32 14 176
33 9 100
34 25 184
35 13 104

#PARAMS: VOLUMECAP=1000 VOLUMEDEMANDRATIO=0.9 RANGECAP=0.35 RANDOM=0 SEED=12345
